[2026/01/20 16:31:45.618047] [INFO] main.go:218: Server starting on :8080
[2026/01/20 16:31:48.496087] [INFO] main.go:107: localhost:8080 GET /authos/system-login 404
[2026/01/20 16:31:49.295085] [INFO] main.go:107: localhost:8080 GET /authos/system-login 404
[2026/01/20 16:32:07.507592] [INFO] main.go:107: localhost:8080 GET /authos/ 304
[2026/01/20 16:32:07.530955] [INFO] main.go:107: localhost:8080 GET /authos/assets/index-cqsNC2VY.js 304
[2026/01/20 16:32:07.567509] [INFO] main.go:107: localhost:8080 GET /authos/assets/SystemLogin-DTWVFpqb.js 304
[2026/01/20 16:32:07.568144] [INFO] main.go:107: localhost:8080 GET /authos/assets/index-C99W1-_y.js 304
[2026/01/20 16:32:07.568649] [INFO] main.go:107: localhost:8080 GET /authos/assets/_plugin-vue_export-helper-DlAUqK2U.js 304
[2026/01/20 16:32:07.568649] [INFO] main.go:107: localhost:8080 GET /authos/assets/ShieldCheckmark-BM8XziVz.js 304
[2026/01/20 16:32:07.568649] [INFO] main.go:107: localhost:8080 GET /authos/assets/Person-rSDxPfvD.js 304
[2026/01/20 16:32:07.568649] [INFO] main.go:107: localhost:8080 GET /authos/assets/LockClosed-D1feIw8_.js 304
[2026/01/20 16:32:07.569184] [INFO] main.go:107: localhost:8080 GET /authos/assets/SystemLogin-BtsjQVYl.css 304
[2026/01/20 16:32:07.569184] [INFO] main.go:107: localhost:8080 GET /authos/assets/LogIn-CJ1VetO7.js 304
[2026/01/20 16:32:11.476447] [INFO] main.go:107: localhost:8080 GET /authos/system-login/ 404
[2026/01/20 16:32:15.152427] [INFO] main.go:107: localhost:8080 GET /authos/system-login 404
[2026/01/20 16:32:57.267319] [INFO] main.go:107: localhost:8080 GET /authos/system-login 404
[2026/01/20 16:33:16.350230] [ERROR] auth.go:125: SystemLogin: user not found or not admin: record not found, username=ccd7dd34-b5fb-4c2c-9f61-539960c23b05
[2026/01/20 16:33:16.350230] [INFO] main.go:107: localhost:8080 POST /api/public/system-login 401
[2026/01/20 16:33:23.493203] [INFO] main.go:107: localhost:8080 POST /api/public/system-login 200
[2026/01/20 16:33:23.503811] [INFO] main.go:107: localhost:8080 GET /authos/assets/AppSelection-CQwyywjH.js 304
[2026/01/20 16:33:23.503811] [INFO] main.go:107: localhost:8080 GET /authos/assets/PersonCircle-DBzN-y56.js 304
[2026/01/20 16:33:23.503811] [INFO] main.go:107: localhost:8080 GET /authos/assets/CheckmarkCircle-CGn3kGjt.js 304
[2026/01/20 16:33:23.503811] [INFO] main.go:107: localhost:8080 GET /authos/assets/Add-BS-lDIgp.js 304
[2026/01/20 16:33:23.503811] [INFO] main.go:107: localhost:8080 GET /authos/assets/Apps-Bp_Yub-I.js 304
[2026/01/20 16:33:23.503811] [INFO] main.go:107: localhost:8080 GET /authos/assets/AppSelection-CJ15p_TA.css 304
[2026/01/20 16:33:23.526253] [INFO] main.go:107: localhost:8080 GET /api/v1/applications 200
[2026/01/20 16:33:24.814581] [INFO] main.go:107: localhost:8080 GET /authos/assets/AppLogin-BU_oDAvH.css 304
[2026/01/20 16:33:24.814581] [INFO] main.go:107: localhost:8080 GET /authos/assets/Key-Dj-6r78O.js 304
[2026/01/20 16:33:24.814581] [INFO] main.go:107: localhost:8080 GET /authos/assets/AppLogin-EJ2RxZsX.js 304
